xx=6.801460e+00, dx=1.000000e-02, T=1.160608e+00; time needed till here: 3.407000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
1.555556e+01	1.510706e-06	1.085576e-06	1.891803e-07	7.076351e-10	-4.629446e-10	1.170580e-09	1.777661e-07	2.938448e-10	-3.369226e-10	6.307673e-10	1.684996e-07	2.622085e-10	-4.649607e-10	7.271692e-10
1.575758e+01	1.269360e-06	9.159290e-07	1.548159e-07	5.991693e-10	-3.840716e-10	9.832409e-10	1.452456e-07	2.458400e-10	-2.790366e-10	5.248766e-10	1.375789e-07	2.203539e-10	-3.841400e-10	6.044939e-10
1.595960e+01	1.066571e-06	7.727151e-07	1.266986e-07	4.936702e-10	-3.185513e-10	8.122215e-10	1.186756e-07	1.921482e-10	-2.310373e-10	4.231855e-10	1.123329e-07	1.851797e-10	-3.176636e-10	5.028433e-10
1.616162e+01	8.961784e-07	6.518305e-07	1.036911e-07	4.130317e-10	-2.641455e-10	6.771772e-10	9.696734e-08	1.559838e-10	-1.912951e-10	3.472789e-10	9.172033e-08	1.550721e-10	-2.625183e-10	4.175904e-10
1.636364e+01	7.530076e-07	5.498055e-07	8.486373e-08	3.490176e-10	-2.190021e-10	5.680196e-10	7.923311e-08	1.299340e-10	-1.583894e-10	2.883234e-10	7.489058e-08	1.296472e-10	-2.167974e-10	3.464446e-10
1.656566e+01	6.327093e-07	4.637074e-07	6.945044e-08	2.961877e-10	-1.812655e-10	4.774532e-10	6.474005e-08	1.094037e-10	-1.308513e-10	2.402550e-10	6.114471e-08	1.086236e-10	-1.789392e-10	2.875628e-10
1.676768e+01	5.316295e-07	3.910579e-07	5.683896e-08	2.513534e-10	-1.500494e-10	4.014028e-10	5.289785e-08	9.211976e-11	-1.081057e-10	2.002255e-10	4.992028e-08	9.113089e-11	-1.476657e-10	2.387966e-10
1.696970e+01	4.466980e-07	3.297624e-07	4.651930e-08	2.131419e-10	-1.242085e-10	3.373504e-10	4.322189e-08	7.747584e-11	-8.931794e-11	1.667938e-10	4.075667e-08	7.641083e-11	-1.218109e-10	1.982217e-10
1.717172e+01	3.753348e-07	2.780519e-07	3.807514e-08	1.805665e-10	-1.027851e-10	2.833515e-10	3.531637e-08	6.506640e-11	-7.377686e-11	1.388433e-10	3.327563e-08	6.402165e-11	-1.004566e-10	1.644782e-10
1.737374e+01	3.153725e-07	2.344317e-07	3.116587e-08	1.528511e-10	-8.504612e-11	2.378972e-10	2.885829e-08	5.457689e-11	-6.094247e-11	1.155194e-10	2.716834e-08	5.353639e-11	-8.281669e-11	1.363531e-10
1.757576e+01	2.649895e-07	1.976394e-07	2.550833e-08	1.293744e-10	-7.027362e-11	1.996480e-10	2.358163e-08	4.575438e-11	-5.026116e-11	9.601554e-11	2.218138e-08	4.483745e-11	-6.827351e-11	1.131110e-10
1.777778e+01	2.226556e-07	1.666090e-07	2.087778e-08	1.092815e-10	-5.801425e-11	1.672957e-10	1.926898e-08	3.814727e-11	-4.140211e-11	7.954938e-11	1.810708e-08	3.738107e-11	-5.624684e-11	9.362791e-11
1.797980e+01	1.870848e-07	1.404406e-07	1.708887e-08	9.193226e-11	-4.789189e-11	1.398242e-10	1.574527e-08	3.145661e-11	-3.410503e-11	6.556165e-11	1.478090e-08	3.128581e-11	-4.631928e-11	7.760509e-11
1.818182e+01	1.571967e-07	1.183741e-07	1.398865e-08	7.749648e-11	-3.953400e-11	1.170305e-10	1.286645e-08	2.612555e-11	-2.809778e-11	5.422334e-11	1.206590e-08	2.634518e-11	-3.815815e-11	6.450333e-11
1.838384e+01	1.320834e-07	9.976809e-08	1.145114e-08	6.537285e-11	-3.263361e-11	9.800646e-11	1.051487e-08	2.175516e-11	-2.315306e-11	4.490823e-11	9.849661e-09	2.203743e-11	-3.145279e-11	5.349023e-11
1.858586e+01	1.109822e-07	8.408111e-08	9.373001e-09	5.517382e-11	-2.688514e-11	8.205896e-11	8.592619e-09	1.815096e-11	-1.903372e-11	3.718468e-11	8.039592e-09	1.831207e-11	-2.584188e-11	4.415395e-11
1.878788e+01	9.325200e-08	7.085621e-08	7.672608e-09	4.657464e-11	-2.214915e-11	6.872379e-11	7.022030e-09	1.517403e-11	-1.564923e-11	3.082326e-11	6.561159e-09	1.537425e-11	-2.126075e-11	3.663500e-11
1.898990e+01	7.835434e-08	5.970778e-08	6.281269e-09	3.929854e-11	-1.824950e-11	5.754804e-11	5.739022e-09	1.268312e-11	-1.287093e-11	2.555406e-11	5.354595e-09	1.282405e-11	-1.749683e-11	3.032088e-11
1.919192e+01	6.583669e-08	5.031046e-08	5.142019e-09	3.314520e-11	-1.502861e-11	4.817381e-11	4.690722e-09	1.059786e-11	-1.058196e-11	2.117982e-11	4.369976e-09	1.081526e-11	-1.440940e-11	2.522466e-11
1.939394e+01	5.531882e-08	4.238975e-08	4.209318e-09	2.769757e-11	-1.236206e-11	4.005963e-11	3.833807e-09	8.607167e-12	-8.688767e-12	1.729593e-11	3.565663e-09	9.026642e-12	-1.182551e-11	2.085215e-11
1.959596e+01	4.648125e-08	3.571406e-08	3.445865e-09	2.329756e-11	-1.016897e-11	3.346653e-11	3.133591e-09	7.140490e-12	-7.135958e-12	1.427645e-11	2.908860e-09	7.518511e-12	-9.718129e-12	1.723664e-11
1.979798e+01	3.905555e-08	3.008806e-08	2.820660e-09	1.962212e-11	-8.357543e-12	2.797966e-11	2.561238e-09	5.949497e-12	-5.854993e-12	1.180449e-11	2.372802e-09	6.299324e-12	-7.970242e-12	1.426957e-11
2.000000e+01	3.281615e-08	2.534700e-08	2.308816e-09	1.652549e-11	-6.865656e-12	2.339114e-11	2.093393e-09	4.957937e-12	-4.801521e-12	9.759458e-12	1.935101e-09	5.328214e-12	-6.528670e-12	1.185688e-11
